timestamp,dl_rssi,dl_snr,ul_rssi,ul_snr,rssi_mean,snr_mean,rssi_diff,snr_diff,periodo,temp_c,dewpoint_c,precip_mm,press_hpa,wind_ms,rain_flag,rain_class
2026-03-18 15:00:00,-75.5,21.25,-76.41666666666667,22.25,-75.95833333333333,21.75,0.9166666666666666,-1.0,humedo,13.992035,5.017151,0.31918287,691.3525,2.5018585,1,lluvia_ligera
2026-03-18 16:00:00,-75.16666666666667,21.75,-76.58333333333333,22.0,-75.875,21.875,1.4166666666666667,-0.25,humedo,13.765533,5.0625916,0.37510693,690.7994,2.6348162,1,lluvia_ligera
2026-03-18 17:00:00,-75.75,20.416666666666668,-76.0,22.333333333333332,-75.875,21.375,0.25,-1.9166666666666667,humedo,12.582794,5.306122,0.46871603,690.8006,2.0889056,1,lluvia_ligera
2026-03-18 18:00:00,-76.0,20.0,-77.83333333333333,20.666666666666668,-76.91666666666667,20.333333333333332,1.8333333333333333,-0.6666666666666666,humedo,11.423676,5.9073486,0.5068183,691.0481,1.7509822,1,lluvia_ligera
2026-03-18 19:00:00,-75.08333333333333,21.666666666666668,-76.5,21.833333333333332,-75.79166666666667,21.75,1.4166666666666667,-0.16666666666666666,humedo,10.677887,6.3595886,0.5682707,691.8775,1.5367448,1,lluvia_ligera
2026-03-18 20:00:00,-75.5,21.583333333333332,-76.0,22.166666666666668,-75.75,21.875,0.5,-0.5833333333333334,humedo,9.9652405,6.7413025,0.033522025,692.66187,1.287456,1,lluvia_ligera
2026-03-18 21:00:00,-75.33333333333333,21.5,-75.41666666666667,22.583333333333332,-75.375,22.041666666666668,0.08333333333333333,-1.0833333333333333,humedo,9.42691,7.1990356,0.06886572,693.16376,1.0482079,1,lluvia_ligera
2026-03-18 22:00:00,-74.41666666666667,21.666666666666668,-75.91666666666667,22.416666666666668,-75.16666666666667,22.041666666666668,1.5,-0.75,humedo,9.423859,7.35849,0.11070818,693.76373,0.97850376,1,lluvia_ligera
2026-03-18 23:00:00,-75.58333333333333,21.166666666666668,-76.41666666666667,21.916666666666668,-76.0,21.541666666666668,0.8333333333333334,-0.75,humedo,9.3558655,7.105133,0.14602393,693.60876,1.1327599,1,lluvia_ligera
2026-03-19 00:00:00,-75.2,21.7,-75.8,22.2,-75.5,21.95,0.6,-0.5,humedo,8.832184,6.7529907,0.15810877,692.9225,1.1056446,1,lluvia_ligera
